code,ms_name,ms_category,ms_investment_style,ms_id
100353,ICICI Pru Long Term Eq(TaxSav)Dir IDCW-R,ELSS,Large Blend,F00000Z87U
100354,ICICI Pru Long Term Eq (Tax Sav) Gr,ELSS,Large Blend,F0GBR06R27
100355,ICICI Pru Equity & Debt Mthly IDCW-R,Aggressive Allocation,Large Blend,F00000Z854
100356,ICICI Pru Equity & Debt Gr,Aggressive Allocation,Large Blend,F0GBR06S2Q
100357,ICICI Pru Liquid Qt IDCW-R,Liquid,,F00000Z88G
100359,ICICI Pru Liquid Instl Pls Dl IDCW-R,Liquid,,F0GBR06R0R
100363,ICICI Pru Technology Gr,Sector - Technology,Large Growth,F0GBR06R29
100364,ICICI Pru Long Term Bond HY IDCW-R,Long Duration,,F00000Z87D
100365,ICICI Pru Long Term Bond Gr,Long Duration,,F0GBR06R0D
100366,ICICI Pru Long Term Bond Instl Qt IDCW-R,Long Duration,,F00000Z87F
100367,ICICI Pru Long Term Bond Qt IDCW-R,Long Duration,,F00000Z87O
100368,ICICI Pru Gilt IDCW-R,Government Bond,,F00000Z88L
100369,ICICI Pru Gilt Gr,Government Bond,,F0GBR06R02
100370,,,,
100371,,,,
100372,,,,
100375,Nippon India Growth IDCW-R,Mid-Cap,Mid Growth,F00000Z8WV
100376,Nippon India Growth Bns,Mid-Cap,Mid Growth,F0GBR06R3S
100377,Nippon India Growth Gr,Mid-Cap,Mid Growth,F0GBR06R3U
100378,Nippon India Vision IDCW-R,Large & Mid-Cap,Large Growth,F00000Z8ZL
100379,Nippon India Vision Bns,Large & Mid-Cap,Large Growth,F0GBR06R5F
100380,Nippon India Vision Gr,Large & Mid-Cap,Large Growth,F0GBR06R5H
100383,Nippon India Income Mn IDCW-R,Medium to Long Duration,,F00000Z8X3
100384,Nippon India Income Qt IDCW-R,Medium to Long Duration,,F00000Z8X4
100385,Nippon India Income HY IDCW-R,Medium to Long Duration,,F00000Z8X2
100386,Nippon India Income Ann IDCW-R,Medium to Long Duration,,F00000Z8WX
100387,Nippon India Income Gr,Medium to Long Duration,,F0GBR06R3X
100388,Nippon India Income Bns,Medium to Long Duration,,F0GBR06R3W
